,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots,Matches
17,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,4,2,1,1,2,1,7,14.3,6,2,1,1,0,4,4,0,Matches
18,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,52,38,38,12,2,21,31,67.7,10,22,2,20,19,71,60,1,Matches
19,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,45,29,32,10,3,28,46,60.9,18,33,11,22,27,72,65,1,Matches
20,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,17,12,8,9,0,8,19,42.1,11,20,11,9,14,31,59,1,Matches
21,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,17,9,1,10,6,5,9,55.6,4,15,1,14,9,26,3,0,Matches
22,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,28.1,88,51,40,33,15,39,69,56.5,30,23,3,20,37,125,50,1,Matches
23,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,2,2,0,1,1,1,4,25.0,3,4,2,2,4,6,2,0,Matches
24,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,4,0,1,2,1,1,1,100.0,0,2,0,2,1,5,2,0,Matches
25,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,20,11,6,11,3,8,16,50.0,8,7,0,7,17,37,12,0,Matches
26,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,3,1,1,1,1,1,4,25.0,3,1,0,1,2,5,2,0,Matches
27,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,24.0,54,36,32,20,2,23,48,47.9,25,30,3,27,39,93,59,2,Matches
28,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,25,13,9,12,4,13,28,46.4,15,15,2,13,19,44,6,2,Matches
29,Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,33,16,14,18,1,13,29,44.8,16,15,5,10,15,48,19,0,Matches
30,Rayan Aït-Nouri,dz ALG,"DF,MF",Angers,fr Ligue 1,17,2001,0.6,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,1,0,Matches
31,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,24,1994,17.0,17,13,1,10,6,4,9,44.4,5,5,0,5,5,22,9,0,Matches
32,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,29,19,14,13,2,14,25,56.0,11,22,13,9,27,56,92,2,Matches
33,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,28,15,18,8,2,19,33,57.6,14,12,2,10,23,51,36,0,Matches
34,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,66,35,42,21,3,22,35,62.9,13,51,35,16,32,98,241,0,Matches
35,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,3,3,3,0,0,2,2,100.0,0,0,0,0,1,4,5,0,Matches
36,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,1995,5.8,9,6,2,7,0,1,3,33.3,2,7,0,7,4,13,1,0,Matches
37,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,23,15,13,10,0,11,21,52.4,10,18,5,13,12,35,20,2,Matches
38,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,10,6,5,5,0,6,7,85.7,1,7,2,5,10,20,7,2,Matches
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,34,21,13,13,8,17,26,65.4,9,24,3,21,31,65,40,0,Matches
40,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,21.1,81,44,44,31,6,36,63,57.1,27,15,4,11,46,127,57,0,Matches
41,Lucas Alario,ar ARG,"FW,MF",Leverkusen,de Bundesliga,25,1992,14.1,15,8,5,6,4,4,14,28.6,10,9,0,9,1,16,16,0,Matches
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,42,22,20,15,7,20,48,41.7,28,24,6,18,60,102,76,1,Matches
43,Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,1992,22.1,53,22,15,29,9,21,55,38.2,34,23,3,20,10,63,10,0,Matches
44,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,16,8,12,4,0,8,15,53.3,7,19,16,3,20,36,90,1,Matches
45,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,1990,18.4,46,26,31,10,5,21,45,46.7,24,23,3,20,16,62,37,1,Matches
46,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,1989,18.1,35,22,18,14,3,13,31,41.9,18,26,3,23,23,58,30,0,Matches
47,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,3,1,2,0,1,0,6,0.0,6,5,0,5,6,9,7,0,Matches
48,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,32,23,23,9,0,15,23,65.2,8,21,18,3,36,68,120,0,Matches
49,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,87,65,31,44,12,25,48,52.1,23,23,4,19,44,131,17,1,Matches
50,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,96,54,50,40,6,32,89,36.0,57,59,10,49,38,134,52,1,Matches
51,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,37,23,25,10,2,12,22,54.5,10,41,22,19,24,61,175,0,Matches
52,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1992,1.6,1,1,0,1,0,0,3,0.0,3,1,0,1,0,1,0,0,Matches
53,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
54,Iván Alejo,es ESP,MF,Getafe,es La Liga,23,1995,1.6,2,0,0,2,0,0,4,0.0,4,2,0,2,0,2,3,0,Matches
55,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,7,4,0,6,1,2,8,25.0,6,4,0,4,2,9,0,0,Matches
56,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,2,0,2,0,0,2,6,33.3,4,0,0,0,1,3,7,2,Matches
57,Alexander,ar ARG,FW,Leganés,es La Liga,29,1988,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
58,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,61,39,31,22,8,36,68,52.9,32,19,3,16,35,96,68,0,Matches
59,Alfonso,mz MOZ,MF,Hoffenheim,de Bundesliga,18,1999,0.1,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,Matches
60,Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,15,5,3,9,3,4,9,44.4,5,8,1,7,10,25,11,0,Matches
61,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,14,6,Matches
62,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,16,1,Matches
63,Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,106,70,39,55,12,36,107,33.6,71,55,13,42,36,142,28,0,Matches
64,Allan,br BRA,MF,Eint Frankfurt,de Bundesliga,21,1997,2.0,4,4,2,2,0,0,4,0.0,4,4,2,2,0,4,1,0,Matches
65,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,22,1996,20.3,33,19,6,14,13,5,24,20.8,19,33,5,28,19,52,20,0,Matches
66,Miguel Almirón,py PAR,MF,Newcastle Utd,eng Premier League,24,1994,8.4,20,12,7,10,3,4,10,40.0,6,14,1,13,8,28,5,0,Matches
67,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,es La Liga,25,1993,6.0,13,9,8,4,1,7,12,58.3,5,8,3,5,5,18,24,1,Matches
68,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,73,46,44,22,7,33,58,56.9,25,25,2,23,39,112,101,0,Matches
69,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,6.3,10,5,6,1,3,3,4,75.0,1,3,1,2,9,19,30,0,Matches
70,Sergio Álvarez,es ESP,"DF,MF",Eibar,es La Liga,26,1992,11.9,34,25,12,20,2,13,23,56.5,10,9,4,5,17,51,43,0,Matches
71,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
72,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,55,30,39,14,2,19,33,57.6,14,35,16,19,63,118,149,1,Matches
73,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,15,8,11,4,0,4,7,57.1,3,36,28,8,29,44,210,0,Matches
74,Dani Alves,br BRA,"MF,DF",Paris S-G,fr Ligue 1,35,1983,18.0,42,22,16,23,3,13,38,34.2,25,18,5,13,8,50,11,0,Matches
75,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,es La Liga,25,1993,8.5,27,20,9,15,3,2,9,22.2,7,7,4,3,11,38,24,0,Matches
76,Romain Amalfitano,fr FRA,"MF,FW",Dijon,fr Ligue 1,28,1989,28.0,52,33,20,28,4,25,67,37.3,42,45,13,32,47,99,35,0,Matches
77,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,18,12,11,6,1,10,15,66.7,5,6,4,2,17,35,28,1,Matches
78,Jordi Amat,id IDN,DF,Rayo Vallecano,es La Liga,26,1992,30.7,54,31,34,19,1,24,42,57.1,18,31,10,21,43,97,133,1,Matches
79,Amath,sn SEN,MF,Getafe,es La Liga,22,1996,11.1,20,13,7,11,2,6,27,22.2,21,17,0,17,10,30,12,0,Matches
80,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,74,50,34,26,14,35,56,62.5,21,24,8,16,46,120,93,4,Matches
81,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,68,45,54,12,2,20,30,66.7,10,36,13,23,36,104,113,1,Matches
82,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,21,1996,8.4,14,9,8,4,2,3,13,23.1,10,11,0,11,7,21,4,0,Matches
83,Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
84,Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,40,27,31,8,1,19,31,61.3,12,30,15,15,35,75,147,1,Matches
86,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,25,1993,33.8,89,49,33,44,12,31,101,30.7,70,71,0,71,41,130,18,1,Matches
87,Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,10,2,3,4,3,1,6,16.7,5,9,1,8,3,13,12,0,Matches
88,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,101,60,39,50,12,33,85,38.8,52,40,6,34,54,155,58,0,Matches
89,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,5,0,Matches
90,Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,10,6,7,2,1,6,10,60.0,4,4,2,2,6,16,33,0,Matches
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
92,José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,66,46,36,23,7,31,56,55.4,25,24,5,19,41,107,113,1,Matches
93,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,9,2,Matches
94,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,31,1986,20.1,50,26,19,21,10,15,30,50.0,15,21,4,17,15,65,31,0,Matches
95,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,11,9,5,1,5,1,10,10.0,9,14,0,14,5,16,5,0,Matches
96,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,49,32,33,14,2,22,50,44.0,28,56,33,23,69,118,169,3,Matches
97,Luca Antonelli,it ITA,DF,Empoli,it Serie A,31,1987,8.4,13,11,4,5,4,7,17,41.2,10,19,4,15,16,29,25,1,Matches
98,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,2,2,1,1,0,0,2,0.0,2,2,1,1,0,2,3,0,Matches
99,Michail Antonio,jm JAM,"MF,FW",West Ham,eng Premier League,28,1990,23.4,23,14,12,6,5,6,12,50.0,6,38,3,35,18,41,26,1,Matches
100,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,30,1987,20.7,35,21,16,15,4,18,42,42.9,24,21,8,13,18,53,31,0,Matches
101,Vitorino Antunes,pt POR,"DF,MF",Getafe,es La Liga,31,1987,24.2,41,26,22,17,2,27,45,60.0,18,33,7,26,43,84,75,1,Matches
102,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,23,1995,12.0,33,19,15,16,2,6,14,42.9,8,14,1,13,11,44,25,1,Matches
103,Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,15,10,6,7,2,6,15,40.0,9,8,1,7,9,24,19,0,Matches
104,Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,20,1998,34.0,63,38,28,25,10,17,61,27.9,44,33,6,27,32,95,25,3,Matches
105,Emmanuel Apeh,ng NGA,"FW,MF",Celta Vigo,es La Liga,21,1996,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
106,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,59,33,18,37,4,23,76,30.3,53,44,9,35,30,89,36,0,Matches
107,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,21,1997,7.0,11,6,5,5,1,6,7,85.7,1,6,3,3,9,20,8,0,Matches
108,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,48,30,21,22,5,21,66,31.8,45,31,2,29,25,73,27,1,Matches
109,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,22,1996,8.7,23,17,8,9,6,9,24,37.5,15,6,1,5,3,26,4,0,Matches
110,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,42,22,32,9,1,18,22,81.8,4,32,21,11,35,77,153,1,Matches
111,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,31,24,25,5,1,17,27,63.0,10,12,5,7,46,77,92,2,Matches
112,Joaquín Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
113,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,1,Matches
114,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,48,32,31,16,1,20,31,64.5,11,14,2,12,34,82,43,0,Matches
115,Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,20,14,15,4,1,6,10,60.0,4,31,20,11,14,34,103,0,Matches
116,Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches
117,Yoël Armougom,fr FRA,DF,Caen,fr Ligue 1,20,1998,20.6,31,21,20,9,2,15,29,51.7,14,9,3,6,21,52,66,0,Matches
118,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,26,1992,15.9,28,20,14,6,8,8,42,19.0,34,14,0,14,12,40,12,0,Matches
119,José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,23,1995,1.3,1,1,1,0,0,0,3,0.0,3,0,0,0,2,3,1,0,Matches
120,Marko Arnautović,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,9,5,4,3,2,1,7,14.3,6,4,2,2,3,12,6,0,Matches
121,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,52,30,21,27,4,21,61,34.4,40,31,10,21,35,87,48,1,Matches
122,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,4,2,Matches
123,Harry Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,62,37,27,26,9,16,46,34.8,30,33,5,28,21,83,21,2,Matches
124,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,44,26,22,14,8,29,51,56.9,22,21,4,17,40,84,46,1,Matches
125,Takuma Asano,jp JPN,"MF,FW",Hannover 96,de Bundesliga,23,1994,7.8,5,3,1,1,3,1,6,16.7,5,9,0,9,2,7,2,0,Matches
126,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27.0,78,50,43,29,6,34,74,45.9,40,48,10,38,43,121,34,1,Matches
127,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,26,2,Matches
128,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,22,1996,19.8,12,8,3,5,4,2,24,8.3,22,16,1,15,14,26,7,0,Matches
129,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,30,1987,25.0,16,11,4,8,4,4,20,20.0,16,14,0,14,16,32,5,0,Matches
130,Simon Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1.0,6,3,4,2,0,2,2,100.0,0,2,1,1,3,9,1,0,Matches
131,Youcef Atal,dz ALG,"DF,FW",Nice,fr Ligue 1,22,1996,25.1,68,44,34,25,9,34,67,50.7,33,38,8,30,56,124,42,0,Matches
132,Christian Atsu,gh GHA,MF,Newcastle Utd,eng Premier League,26,1992,16.6,24,15,9,11,4,5,16,31.3,11,13,3,10,7,31,16,0,Matches
133,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,1989,30.3,21,17,6,9,6,8,28,28.6,20,26,0,26,8,29,22,0,Matches
134,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36.0,4,3,4,0,0,3,3,100.0,0,0,0,0,1,5,21,4,Matches
135,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,1997,5.1,2,0,0,0,2,0,1,0.0,1,6,0,6,3,5,0,0,Matches
136,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,53,31,25,22,6,23,39,59.0,16,37,11,26,38,91,86,1,Matches
137,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,25,1992,6.3,20,12,12,4,4,8,15,53.3,7,8,2,6,7,27,20,0,Matches
138,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,29,1989,10.9,13,7,3,6,4,6,11,54.5,5,12,2,10,2,15,13,0,Matches
139,Ezequiel Ávila,ar ARG,"FW,MF",Huesca,es La Liga,24,1994,22.2,18,10,7,7,4,4,26,15.4,22,21,2,19,13,31,22,0,Matches
140,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,26,1991,13.1,38,23,12,19,7,6,20,30.0,14,16,0,16,7,45,6,0,Matches
141,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,1994,27.2,53,29,38,15,0,23,47,48.9,24,34,16,18,59,112,118,3,Matches
142,Floyd Ayité,tg TOG,"FW,MF",Fulham,eng Premier League,29,1988,5.3,4,4,2,1,1,2,6,33.3,4,8,1,7,7,11,5,0,Matches
143,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,105,60,52,40,13,38,67,56.7,29,63,16,47,43,148,91,3,Matches
144,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,46,33,37,8,1,29,39,74.4,10,32,18,14,29,75,165,4,Matches
145,Florian Baak,de GER,MF,Hertha BSC,de Bundesliga,19,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
146,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,32,1986,1.4,4,3,3,1,0,0,0,,0,1,0,1,2,6,1,0,Matches
147,Khouma Babacar,sn SEN,FW,Sassuolo,it Serie A,25,1993,16.5,7,3,2,5,0,2,10,20.0,8,8,2,6,3,10,25,1,Matches
148,Ryan Babel,nl NED,"FW,MF",Fulham,eng Premier League,31,1986,13.9,8,4,1,5,2,3,9,33.3,6,12,0,12,6,14,13,1,Matches
149,Carlos Bacca,co COL,FW,Villarreal,es La Liga,31,1986,14.1,4,2,1,2,1,0,5,0.0,5,4,0,4,8,12,5,0,Matches
150,Juninho Bacuna,cw CUW,"MF,DF",Huddersfield,eng Premier League,20,1997,15.7,46,29,22,19,5,22,54,40.7,32,21,1,20,24,70,12,1,Matches
151,Leandro Bacuna,cw CUW,MF,Cardiff City,eng Premier League,26,1991,6.2,15,10,5,7,3,8,22,36.4,14,5,2,3,15,30,9,0,Matches
152,Milan Badelj,hr CRO,MF,Lazio,it Serie A,29,1989,12.7,33,20,10,19,4,16,37,43.2,21,27,9,18,33,66,20,1,Matches
153,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,17,2001,19.6,25,18,18,7,0,17,25,68.0,8,12,5,7,21,46,79,2,Matches
154,Holger Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,1989,5.8,12,4,8,4,0,7,8,87.5,1,6,2,4,9,21,21,1,Matches
155,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,26,1992,27.4,15,7,0,10,5,3,21,14.3,18,35,3,32,8,23,5,0,Matches
156,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,34,1984,31.3,62,39,21,37,4,24,66,36.4,42,27,8,19,60,122,48,2,Matches
157,Leon Bailey,jm JAM,FW,Leverkusen,de Bundesliga,20,1997,21.3,15,11,9,2,4,6,20,30.0,14,20,0,20,14,29,11,0,Matches
158,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,24,1994,7.1,15,9,14,1,0,8,10,80.0,2,9,4,5,13,28,39,1,Matches
159,Leighton Baines,eng ENG,DF,Everton,eng Premier League,33,1984,4.2,8,6,4,3,1,4,6,66.7,2,2,0,2,2,10,8,0,Matches
160,Marvin Bakalorz,de GER,MF,Hannover 96,de Bundesliga,28,1989,16.3,18,11,7,9,2,6,36,16.7,30,29,4,25,28,46,47,0,Matches
161,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,23,1994,25.6,69,43,22,40,7,26,62,41.9,36,34,5,29,50,119,42,2,Matches
162,Ridle Baku,de GER,MF,Mainz 05,de Bundesliga,20,1998,10.4,18,9,6,9,3,2,7,28.6,5,13,1,12,8,26,9,0,Matches
163,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,26,1991,22.4,40,20,34,6,0,16,42,38.1,26,23,15,8,53,93,175,0,Matches
164,Keita Baldé,sn SEN,FW,Inter,it Serie A,23,1995,9.9,10,6,4,2,4,2,9,22.2,7,8,0,8,3,13,1,0,Matches
165,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,29,1989,19.8,16,8,5,7,4,6,20,30.0,14,19,3,16,11,27,13,0,Matches
166,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,30,1988,5.8,10,6,7,1,2,5,8,62.5,3,6,2,4,2,12,21,0,Matches
167,Andrija Balić,hr CRO,"FW,MF",Udinese,it Serie A,20,1997,0.3,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,Matches
