,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots,Matches
42,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,17,13,5,8,4,9,15,60.0,6,12,2,10,11,28,26,0,Matches
43,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12.0,33,20,25,7,1,9,15,60.0,6,3,0,3,9,42,28,0,Matches
44,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,55,34,36,17,2,33,47,70.2,14,28,16,12,25,80,52,3,Matches
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,11,8,5,4,2,9,16,56.3,7,6,5,1,7,18,22,0,Matches
46,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,8.6,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0,Matches
47,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,13.5,6,5,1,4,1,1,9,11.1,8,8,2,6,1,7,8,0,Matches
48,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,36,25,15,18,3,23,36,63.9,13,27,9,18,16,52,33,1,Matches
49,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,26,12,15,9,2,11,15,73.3,4,20,10,10,20,46,48,0,Matches
50,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,27,16,19,6,2,12,22,54.5,10,22,6,16,14,41,41,0,Matches
51,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,0.1,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
52,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,4.5,7,4,4,3,0,2,8,25.0,6,2,0,2,3,10,2,0,Matches
53,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,5.0,16,9,13,3,0,13,20,65.0,7,2,2,0,12,28,17,1,Matches
54,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,15.1,53,37,25,19,9,23,42,54.8,19,35,4,31,13,66,27,0,Matches
55,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,75,44,45,27,3,32,45,71.1,13,45,16,29,24,99,70,1,Matches
56,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,15,11,8,4,3,9,15,60.0,6,18,9,9,14,29,37,1,Matches
57,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,0.3,,0,,,,,,,,,,,0,,,,Matches
58,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,2.5,3,2,0,2,1,1,2,50.0,1,1,0,1,2,5,2,0,Matches
59,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,3.7,3,2,1,0,2,0,1,0.0,1,0,0,0,2,5,13,0,Matches
60,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,25,18,13,11,1,12,28,42.9,16,12,5,7,11,36,23,0,Matches
61,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,27.1,49,29,18,20,11,23,72,31.9,49,35,6,29,9,58,4,0,Matches
62,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,25,17,17,6,2,14,18,77.8,4,17,13,4,14,39,111,0,Matches
63,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,2.6,4,1,0,2,2,1,8,12.5,7,6,2,4,1,5,5,0,Matches
64,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,13.9,43,24,20,21,2,14,23,60.9,9,15,3,12,21,64,13,2,Matches
65,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,11.4,10,5,2,7,1,6,22,27.3,16,14,5,9,1,11,11,0,Matches
66,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,22.7,43,31,24,18,1,19,54,35.2,35,23,8,15,19,62,37,0,Matches
67,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,35,20,21,14,0,28,40,70.0,12,23,16,7,26,61,85,0,Matches
68,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,27,1995,14.6,32,21,19,9,4,17,37,45.9,20,18,3,15,5,37,12,1,Matches
69,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
70,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,23.5,18,10,7,5,6,5,34,14.7,29,19,1,18,4,22,18,0,Matches
71,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,57,40,32,16,9,42,79,53.2,37,25,7,18,43,100,41,2,Matches
72,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
73,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,12.6,27,13,14,13,0,22,48,45.8,26,15,5,10,3,30,11,0,Matches
74,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,6.5,13,10,6,5,2,4,10,40.0,6,9,0,9,2,15,2,0,Matches
75,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21,2001,2.0,8,5,3,4,1,3,9,33.3,6,3,0,3,1,9,3,0,Matches
76,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37.0,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,20,0,Matches
77,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,27,1995,24.9,39,24,24,11,4,19,62,30.6,43,24,2,22,24,63,26,1,Matches
78,Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
79,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,28.2,66,42,23,32,11,26,57,45.6,31,26,0,26,20,86,16,1,Matches
80,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,1994,27.7,46,30,16,19,11,18,42,42.9,24,25,2,23,10,56,17,0,Matches
81,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,13.0,15,10,10,5,0,9,12,75.0,3,14,10,4,11,26,32,0,Matches
82,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,15.1,35,23,20,11,4,20,33,60.6,13,17,5,12,35,70,44,1,Matches
83,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,29,1993,2.6,5,4,2,3,0,2,6,33.3,4,0,0,0,3,8,4,0,Matches
84,Carlos Álvarez,es ESP,MF,Sevilla,es La Liga,18,2003,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
85,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,16.7,38,30,24,9,5,23,42,54.8,19,15,5,10,15,53,35,0,Matches
86,Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,22,2000,16.3,26,16,3,13,10,9,30,30.0,21,13,0,13,2,28,6,0,Matches
87,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,it Serie A,21,2001,4.1,6,3,0,5,1,1,4,25.0,3,5,1,4,3,9,3,0,Matches
88,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,25.9,34,23,26,7,1,24,31,77.4,7,23,13,10,48,82,101,0,Matches
89,Ibrahim Amadou,fr FRA,"DF,MF",Angers,fr Ligue 1,29,1993,4.7,10,7,6,3,1,7,11,63.6,4,7,3,4,10,20,20,0,Matches
90,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,25,1996,3.0,15,9,7,8,0,5,8,62.5,3,2,0,2,5,20,2,0,Matches
91,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,17.9,19,8,13,5,1,12,14,85.7,2,24,17,7,8,27,71,0,Matches
92,Amath,sn SEN,"MF,FW",Mallorca,es La Liga,26,1996,13.6,29,19,14,8,7,14,22,63.6,8,13,1,12,5,34,5,0,Matches
93,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,2.2,3,2,3,0,0,1,3,33.3,2,3,0,3,4,7,7,0,Matches
94,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18,2004,0.2,1,0,1,0,0,1,4,25.0,3,1,0,1,0,1,2,1,Matches
95,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24,1998,26.4,54,32,33,12,9,24,31,77.4,7,34,12,22,22,76,87,1,Matches
96,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,0.6,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,4,0,Matches
97,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,20,2002,23.2,50,33,36,14,0,19,43,44.2,24,26,11,15,25,75,62,1,Matches
98,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,25,1996,10.9,15,6,5,8,2,9,20,45.0,11,12,1,11,6,21,10,2,Matches
99,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,eng Premier League,16,2006,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
100,Ethan Ampadu,wls WAL,"DF,MF",Spezia,it Serie A,21,2000,29.3,66,37,33,28,5,17,41,41.5,24,48,23,25,36,102,98,0,Matches
101,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,25,1996,22.2,39,24,15,17,7,16,29,55.2,13,23,5,18,21,60,18,2,Matches
102,Ayoub Amraoui,ma MAR,"DF,FW",Nice,fr Ligue 1,18,2004,3.3,6,5,3,3,0,2,5,40.0,3,1,0,1,4,10,4,0,Matches
103,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,30.9,42,22,30,12,0,16,32,50.0,16,28,13,15,24,66,188,1,Matches
104,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,19,2002,4.6,11,5,5,3,3,6,12,50.0,6,11,2,9,6,17,2,0,Matches
105,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29,1993,32.9,80,50,31,41,8,31,88,35.2,57,58,6,52,31,111,27,0,Matches
106,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,31,1990,32.4,128,74,51,60,17,65,121,53.7,56,50,8,42,47,175,60,0,Matches
107,Marcos André,br BRA,"FW,MF",Valencia,es La Liga,25,1996,5.0,4,1,1,1,2,1,2,50.0,1,4,1,3,0,4,0,0,Matches
108,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27,1995,16.1,13,5,2,7,4,2,15,13.3,13,8,1,7,8,21,13,0,Matches
109,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,27,1994,26.7,61,38,30,27,4,26,45,57.8,19,27,9,18,42,103,55,2,Matches
110,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25,1997,29.1,40,24,19,18,3,23,37,62.2,14,32,6,26,25,65,67,0,Matches
111,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28,1994,6.5,12,9,8,3,1,10,17,58.8,7,8,3,5,7,19,10,0,Matches
112,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,eng Premier League,22,1999,14.0,30,17,15,9,6,8,24,33.3,16,30,3,27,10,40,19,0,Matches
113,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,19,2002,0.6,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
114,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26,1996,32.6,49,27,27,19,3,27,51,52.9,24,44,16,28,38,87,123,2,Matches
115,Josep Antoni Gayá,es ESP,"DF,MF",Mallorca,es La Liga,22,2000,1.1,0,0,0,0,0,0,0,,0,4,2,2,1,1,6,0,Matches
116,José Antonio,es ESP,"MF,DF",Cádiz,es La Liga,18,2004,0.5,2,1,0,0,2,0,0,,0,0,0,0,0,2,0,0,Matches
117,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22,2000,6.6,9,6,4,5,0,9,20,45.0,11,7,2,5,11,20,18,0,Matches
118,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32,1990,20.3,14,7,1,8,5,3,12,25.0,9,13,5,8,5,19,9,0,Matches
119,Antony,br BRA,FW,Manchester Utd,eng Premier League,22,2000,20.0,22,9,9,9,4,8,28,28.6,20,18,0,18,11,33,6,0,Matches
120,Valentin Antov,bg BUL,DF,Monza,it Serie A,21,2000,3.4,6,5,3,3,0,1,5,20.0,4,5,4,1,4,10,14,1,Matches
121,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,28,1994,22.0,23,15,7,8,8,10,29,34.5,19,17,0,17,5,28,16,0,Matches
122,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,27,1995,2.3,4,4,0,1,3,0,0,,0,5,2,3,3,7,3,0,Matches
123,Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,24,1998,5.8,12,5,5,5,2,3,9,33.3,6,12,2,10,8,20,3,0,Matches
124,Adil Aouchiche,fr FRA,MF,Lorient,fr Ligue 1,20,2002,2.8,5,2,3,1,1,1,9,11.1,8,1,0,1,4,9,1,0,Matches
125,Dennis Appiah,fr FRA,"DF,MF",Nantes,fr Ligue 1,30,1992,8.8,21,11,14,7,0,10,27,37.0,17,13,5,8,10,31,16,0,Matches
126,Stredair Appuah,fr FRA,"DF,MF",Nantes,fr Ligue 1,18,2004,0.7,2,1,0,2,0,0,0,,0,2,0,2,1,3,0,0,Matches
127,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,26,1995,11.0,14,6,9,4,1,3,17,17.6,14,17,5,12,14,28,19,0,Matches
128,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33,1989,5.5,17,7,7,10,0,12,20,60.0,8,4,0,4,7,24,4,0,Matches
129,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23,1999,20.0,26,18,12,13,1,6,9,66.7,3,15,7,8,12,38,41,1,Matches
130,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,21,2001,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
131,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,18,2003,1.4,1,1,0,0,1,0,3,0.0,3,1,0,1,0,1,2,0,Matches
132,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,3.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
133,Adu Ares,es ESP,"FW,MF",Athletic Club,es La Liga,20,2001,0.9,4,2,2,1,1,4,4,100.0,0,1,0,1,2,6,1,0,Matches
134,Joe Aribo,ng NGA,"MF,FW",Southampton,eng Premier League,26,1996,13.6,31,20,15,12,4,11,20,55.0,9,14,1,13,10,41,11,0,Matches
135,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,25,1997,14.8,14,9,6,5,3,3,10,30.0,7,15,3,12,5,19,6,0,Matches
136,Stuart Armstrong,sct SCO,"MF,FW",Southampton,eng Premier League,30,1992,15.6,32,21,15,13,4,14,39,35.9,25,18,0,18,10,42,9,2,Matches
137,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33,1989,17.0,9,6,2,5,2,1,6,16.7,5,11,1,10,2,11,10,0,Matches
138,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28,1994,30.7,62,31,25,28,9,28,54,51.9,26,34,11,23,26,88,65,2,Matches
139,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18,2004,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
140,Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,20,2001,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
141,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,28.5,2,2,2,0,0,2,3,66.7,1,0,0,0,1,3,16,2,Matches
142,Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,18,2003,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
143,Tolgay Arslan,de GER,MF,Udinese,it Serie A,31,1990,13.5,29,18,13,15,1,14,39,35.9,25,19,0,19,12,41,9,1,Matches
144,Ricard Artero,es ESP,"MF,FW",Girona,es La Liga,19,2003,1.5,3,3,2,1,0,1,1,100.0,0,2,0,2,1,4,3,0,Matches
145,Arthur,br BRA,FW,Fiorentina,it Serie A,24,1998,15.9,9,2,1,4,4,4,8,50.0,4,10,1,9,1,10,12,0,Matches
146,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,es La Liga,24,1998,5.4,9,8,7,1,1,6,21,28.6,15,11,1,10,2,11,15,1,Matches
147,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,27,1994,19.0,14,9,4,4,6,7,16,43.8,9,17,1,16,8,22,8,0,Matches
148,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,25,1997,8.1,29,14,17,10,2,14,35,40.0,21,14,2,12,13,42,11,0,Matches
149,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,2,Matches
150,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,26,1996,16.0,16,10,8,6,2,8,19,42.1,11,8,3,5,5,21,4,0,Matches
151,Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,21,2001,8.1,7,3,2,3,2,4,10,40.0,6,15,4,11,11,18,6,0,Matches
152,Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,19,2002,1.9,0,0,0,0,0,0,4,0.0,4,2,0,2,3,3,3,0,Matches
153,Kristjan Asllani,al ALB,MF,Inter,it Serie A,20,2002,6.6,11,5,1,8,2,7,10,70.0,3,3,1,2,6,17,4,0,Matches
154,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,34,1987,31.9,8,4,0,4,4,3,22,13.6,19,10,1,9,7,15,23,0,Matches
155,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22,2000,2.9,6,2,4,2,0,2,4,50.0,2,6,0,6,2,8,9,0,Matches
156,Youcef Atal,dz ALG,"DF,MF",Nice,fr Ligue 1,26,1996,8.7,38,22,18,15,5,23,32,71.9,9,9,0,9,14,52,13,0,Matches
157,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,16,2005,1.9,8,3,4,2,2,3,6,50.0,3,2,1,1,0,8,1,0,Matches
158,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33,1989,6.2,1,0,1,0,0,0,1,0.0,1,2,0,2,2,3,4,2,Matches
159,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
160,Emil Audero,it ITA,GK,Sampdoria,it Serie A,25,1997,25.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,7,1,Matches
161,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,27,1994,34.0,17,14,13,2,2,9,20,45.0,11,23,7,16,17,34,61,1,Matches
162,Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28,1994,0.9,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
163,Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28,1994,1.5,2,1,2,0,0,1,3,33.3,2,1,0,1,1,3,3,0,Matches
164,Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,29,1992,21.6,64,41,41,18,5,23,33,69.7,10,34,11,23,29,93,75,0,Matches
165,Mathias Autret,fr FRA,"MF,FW",Auxerre,fr Ligue 1,31,1991,14.3,22,10,10,10,2,7,16,43.8,9,14,2,12,12,34,13,0,Matches
166,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,28,1994,19.0,8,5,2,4,2,6,23,26.1,17,12,1,11,8,16,16,0,Matches
167,Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,35,1986,19.9,13,7,8,5,0,8,12,66.7,4,20,13,7,15,28,91,1,Matches
